full date,Country_Region,Confirmed,Recovered,Deaths,Case_Fatality_Ratio,Active,Incident_Rate,confirmed_1d,deaths_1d,confirmed_moving_avg_7d,deaths_moving_avg_7d,confirmed_moving_avg_7d_rate_14d,deaths_moving_avg_7d_rate_14d
2022-07-20,Canada,4036835.0,0.0,42413.0,0.010506498283927879,3994422.0,40.36835,10779.0,50.0,5931.0,35.142857142857146,0.9301255230125525,0.5769230769230771
2022-07-21,Canada,4040945.0,0.0,42465.0,0.010508680519037007,3998480.0,40.40945,4110.0,52.0,5807.714285714285,36.285714285714285,1.0402489210077284,0.6075949367088607
2022-07-22,Canada,4051369.0,0.0,42535.0,0.010498920241528233,4008834.0,40.51369,10424.0,70.0,4711.285714285715,36.857142857142854,0.46378162450066607,0.5828220858895705
2022-07-23,Canada,4059863.0,0.0,42667.0,0.010509467930321786,4017196.0,40.59863,8494.0,132.0,5116.571428571428,48.57142857142857,0.4519803786435319,0.9767441860465114
2022-07-24,Canada,4061517.0,0.0,42682.0,0.010508881287459833,4018835.0,40.61517,1654.0,15.0,5069.428571428572,46.714285714285715,0.6067919402309261,0.9464285714285714
2022-07-25,Canada,4062795.0,0.0,42690.0,0.01050754468290918,4020105.0,40.62795,1278.0,8.0,5252.0,46.714285714285715,0.6538011695906432,0.8901734104046242
2022-07-26,Canada,4064071.0,0.0,42694.0,0.010505229854498113,4021377.0,40.64071,1276.0,4.0,5430.714285714285,47.285714285714285,0.65779948541276,0.8388888888888888
2022-07-27,Canada,4071456.0,0.0,42738.0,0.010496981915069203,4028718.0,40.71456,7385.0,44.0,4945.857142857143,46.42857142857143,0.7080763727860282,1.0061728395061729
2022-07-28,Canada,4074964.0,0.0,42776.0,0.010497270650734584,4032188.0,40.74964,3508.0,38.0,4859.857142857143,44.42857142857143,0.40533729912835126,0.8622754491017965
2022-07-29,Canada,4084960.0,0.0,42904.0,0.010502918021229095,4042056.0,40.8496,9996.0,128.0,4798.714285714285,52.714285714285715,0.0015504338233101045,1.2638036809815953
2022-07-30,Canada,4090429.0,0.0,42936.0,0.010496698512552107,4047493.0,40.90429,5469.0,32.0,4366.571428571428,38.42857142857143,-0.14212742071288242,0.43085106382978733
2022-07-31,Canada,4091765.0,0.0,42948.0,0.010496203960882406,4048817.0,40.91765,1336.0,12.0,4321.142857142857,38.0,-0.16335675167339725,0.2912621359223302
2022-08-01,Canada,4092709.0,0.0,42950.0,0.010494271642572193,4049759.0,40.92709,944.0,2.0,4273.428571428572,37.142857142857146,-0.1473363167346008,0.25
2022-08-02,Canada,4093700.0,0.0,42950.0,0.010491731196716907,4050750.0,40.937,991.0,0.0,4232.714285714285,36.57142857142857,-0.13047688921496714,0.2736318407960199
2022-08-03,Canada,4099361.0,0.0,42968.0,0.010481633600944147,4056393.0,40.99361,5661.0,18.0,3986.4285714285716,32.857142857142854,-0.3278656935713081,-0.0650406504065042
2022-08-04,Canada,4102523.0,0.0,42999.0,0.010481111257633412,4059524.0,41.02523,3162.0,31.0,3937.0,31.857142857142858,-0.3221085256063364,-0.1220472440944882
2022-08-05,Canada,4094608.0,0.0,43065.0,0.01051749031897559,4051543.0,40.94608,-7915.0,66.0,1378.2857142857142,23.0,-0.7074501955790049,-0.375968992248062
2022-08-06,Canada,4115952.0,0.0,43141.0,0.010481414749248777,4072811.0,41.15952,21344.0,76.0,3646.1428571428573,29.285714285714285,-0.2873855260218896,-0.3970588235294118
2022-08-07,Canada,4117022.0,0.0,43153.0,0.010481605393413005,4073869.0,41.17022,1070.0,12.0,3608.1428571428573,29.285714285714285,-0.2882545229104435,-0.3730886850152906
2022-08-08,Canada,4117775.0,0.0,43157.0,0.010480660065205117,4074618.0,41.17775,753.0,4.0,3580.8571428571427,29.571428571428573,-0.3181917092808182,-0.3669724770642202
2022-08-09,Canada,4118551.0,0.0,43162.0,0.0104798993626642,4075389.0,41.18551,776.0,5.0,3550.1428571428573,30.285714285714285,-0.34628436143627506,-0.3595166163141994
2022-08-10,Canada,4120572.0,0.0,43187.0,0.010480826448366877,4077385.0,41.20572,2021.0,25.0,3030.1428571428573,31.285714285714285,-0.3873371653042951,-0.32615384615384624
2022-08-11,Canada,4123549.0,0.0,43227.0,0.010482960187935198,4080322.0,41.23549,2977.0,40.0,3003.714285714286,32.57142857142857,-0.38193362532702313,-0.26688102893890686
2022-08-12,Canada,4136539.0,0.0,43407.0,0.010493555119388456,4093132.0,41.36539,12990.0,180.0,5990.142857142857,48.857142857142854,0.2482807894971868,-0.07317073170731714
2022-08-13,Canada,4141355.0,0.0,43439.0,0.010489079057458247,4097916.0,41.41355,4816.0,32.0,3629.0,42.57142857142857,-0.16891317149774254,0.10780669144981392
2022-08-14,Canada,4141355.0,0.0,43439.0,0.010489079057458247,4097916.0,41.41355,0.0,0.0,3476.1428571428573,40.857142857142854,-0.19555011901613317,0.07518796992481191
2022-08-15,Canada,4141355.0,0.0,43439.0,0.010489079057458247,4097916.0,41.41355,0.0,0.0,3368.5714285714284,40.285714285714285,-0.21174032225713713,0.08461538461538454
2022-08-16,Canada,4141355.0,0.0,43439.0,0.010489079057458247,4097916.0,41.41355,0.0,0.0,3257.714285714286,39.57142857142857,-0.23034864490870421,0.08203125
2022-08-17,Canada,4148429.0,0.0,43497.0,0.010485174026119285,4104932.0,41.48429,7074.0,58.0,3979.5714285714284,44.285714285714285,-0.0017201218419639064,0.34782608695652173
2022-08-18,Canada,4151304.0,0.0,43538.0,0.010487788897175441,4107766.0,41.51304,2875.0,41.0,3965.0,44.42857142857143,0.007112014224028407,0.3946188340807175
2022-08-19,Canada,4160484.0,0.0,43657.0,0.010493250304531876,4116827.0,41.60484,9180.0,119.0,3420.714285714286,35.714285714285715,1.4818615257048093,0.5527950310559007
2022-08-20,Canada,4166244.0,0.0,43739.0,0.010498424960227966,4122505.0,41.66244,5760.0,82.0,3555.5714285714284,42.857142857142854,-0.02484034008541325,0.46341463414634143
2022-08-21,Canada,4167098.0,0.0,43754.0,0.01049987305314154,4123344.0,41.67098,854.0,15.0,3677.5714285714284,45.0,0.019242190283881522,0.5365853658536586
2022-08-22,Canada,4167719.0,0.0,43754.0,0.010498308547193322,4123965.0,41.67719,621.0,0.0,3766.285714285714,45.0,0.05178329210883281,0.5217391304347825
2022-08-23,Canada,4168367.0,0.0,43755.0,0.010496916418348,4124612.0,41.68367,648.0,1.0,3858.8571428571427,45.142857142857146,0.08695827129692968,0.49056603773584917
2022-08-24,Canada,4171939.0,0.0,43776.0,0.010492962624813067,4128163.0,41.71939,3572.0,21.0,3358.5714285714284,39.857142857142854,0.10838715760690198,0.273972602739726
2022-08-25,Canada,4175716.0,0.0,43858.0,0.010503108927906016,4131858.0,41.75716,3777.0,82.0,3487.4285714285716,45.714285714285715,0.16103871397317615,0.4035087719298247
2022-08-26,Canada,4183149.0,0.0,44002.0,0.010518869875302076,4139147.0,41.83149,7433.0,144.0,3237.8571428571427,49.285714285714285,-0.45946912785290117,0.00877192982456143
2022-08-27,Canada,4187126.0,0.0,44048.0,0.010519864938384945,4143078.0,41.87126,3977.0,46.0,2983.1428571428573,44.142857142857146,-0.17797110577490838,0.03691275167785246
2022-08-28,Canada,4187874.0,0.0,44057.0,0.010520135037491577,4143817.0,41.87874,748.0,9.0,2968.0,43.285714285714285,-0.14618008465869403,0.05944055944055959
2022-08-29,Canada,4188424.0,0.0,44058.0,0.010518992346524612,4144366.0,41.88424,550.0,1.0,2957.8571428571427,43.42857142857143,-0.12192536047497882,0.07801418439716312
